year,college,branch,category,round,closing_rank,website
2024,T John Institute of Technology,MECH,1,3,121326,https://tjohncollege.edu.in/
2022,Vidyavardhaka College,EEE,2A,3,81974,https://vvc.ac.in/
2023,CMRIT,CSE,ST,3,71127,https://cmrit.ac.in/
2022,Don Bosco Institute of Technology,ISE,3A,1,111120,https://dbit.ac.in/
2021,PES University,MECH,1,3,3307,https://pes.edu/
2021,Adichunchanagiri Institute,CSE,1,1,84098,https://acoe.edu.in/
2021,Dayananda Sagar Academy,ISE,ST,1,154747,https://dsacademy.edu.in/
2022,T John Institute of Technology,ISE,GM,3,103846,https://tjohncollege.edu.in/
2023,Vidya Jyothi Institute,CSE,2B,1,96977,https://vji.ac.in/
2021,MVJ College of Engineering,ECE,2B,3,58952,https://mvjce.edu.in/
2023,AIT Chikmagalur,EEE,2B,1,109903,https://aitchikmagalur.edu.in/
2022,MIT Manipal,EEE,ST,3,17217,https://manipal.edu/
2021,PES University,EEE,SC,1,4293,https://pes.edu/
2023,PES University,ISE,3B,3,3513,https://pes.edu/
2024,BMSIT Bangalore,CSE,1,2,25562,https://bmsit.ac.in/
2021,Don Bosco Institute of Technology,CSE,3A,3,114255,https://dbit.ac.in/
2023,Vidya Jyothi Institute,ISE,3B,2,117684,https://vji.ac.in/
2022,CMR University School of Engineering,ISE,GM,3,87652,https://cmr.edu.in/
2022,Vidya Vikas Institute,CSE,GM,1,58007,https://vvit.ac.in/
2024,Vidyavardhaka College,CSE,1,1,64301,https://vvc.ac.in/
2023,Acharya Institute of Technology,EEE,1,3,49936,https://acharya.ac.in/
2022,Sapthagiri College of Engineering,MECH,1,2,67358,https://sapthagiri.edu.in/
2024,KSIT,ECE,3A,1,63328,https://ksit.edu.in/
2022,BMSCE,CSE,SC,1,6768,https://www.bmsce.ac.in/
2021,KSSEM Bangalore,CSE,2A,3,81112,https://kssem.edu.in/
2023,BIT Bangalore,EEE,2A,1,24157,https://bit-bangalore.edu.in/
2023,BMSCE,ECE,3A,1,5926,https://www.bmsce.ac.in/
2024,MIT Manipal,ECE,GM,2,10160,https://manipal.edu/
2024,BIT Bangalore,CSE,SC,1,26609,https://bit-bangalore.edu.in/
2024,Vidya Jyothi Institute,CSE,SC,1,121521,https://vji.ac.in/
2022,KLE Tech Hubli,EEE,GM,3,57142,https://kletech.ac.in/
2024,PESIT RR,ECE,2B,3,36108,https://pes.edu/
2021,DSCE,ISE,1,1,21991,https://www.dsce.edu.in/
2024,Global Academy of Technology,CSE,2A,2,74968,https://gat.ac.in/
2023,Presidency University,ECE,3B,1,88767,https://presidencyuniversity.in/
2023,AIT Chikmagalur,MECH,3A,1,118874,https://aitchikmagalur.edu.in/
2024,MS Engineering College,MECH,SC,2,156591,https://msengineering.edu.in/
2022,RNSIT,ECE,2A,3,32264,https://rnsit.ac.in/
2021,Oxford College of Engineering,MECH,3A,1,72995,https://oxford.edu.in/
2022,MS Engineering College,ISE,3A,3,111895,https://msengineering.edu.in/
2024,East Point College of Engineering,EEE,1,3,75704,https://epce.edu.in/
2021,Dayananda Sagar Academy,ECE,SC,3,164432,https://dsacademy.edu.in/
2021,Vidya Jyothi Institute,ISE,3A,1,110494,https://vji.ac.in/
2022,UVCE,ISE,2A,1,12524,https://uvce.ac.in/
2022,SJCE Mysore,ISE,1,2,15053,https://sjce.ac.in/
2022,AMC Engineering College,ECE,3B,2,136894,https://amc.edu.in/
2021,BMSCE,CSE,SC,2,7284,https://www.bmsce.ac.in/
2021,UVCE,ISE,3B,2,14132,https://uvce.ac.in/
2022,UVCE,ISE,GM,1,11452,https://uvce.ac.in/
2024,PESIT South,ISE,3B,1,46420,https://pes.edu/
2022,Sir MVIT,MECH,SC,3,63767,https://sir-mvit.ac.in/
2024,Bangalore Institute of Technology North Campus,EEE,2B,1,123298,https://bit.edu.in/
2022,Sri Venkateshwara College of Engineering,EEE,3B,2,104606,https://svce.edu.in/
2024,Canara Engineering College,ISE,SC,2,91321,https://canaraengineering.in/
2024,CMRIT,ISE,GM,2,43404,https://cmrit.ac.in/
2024,Sapthagiri College of Engineering,EEE,3B,1,78300,https://sapthagiri.edu.in/
2024,Dayananda Sagar Academy,ECE,2B,2,120486,https://dsacademy.edu.in/
2024,DSCE,ECE,3B,1,28052,https://www.dsce.edu.in/
2024,Adichunchanagiri Institute,ISE,1,2,87667,https://acoe.edu.in/
2023,Vidyavardhaka College,CSE,2B,1,67127,https://vvc.ac.in/
2023,Adichunchanagiri Institute,CSE,SC,2,125524,https://acoe.edu.in/
2022,Presidency University,ISE,ST,2,117494,https://presidencyuniversity.in/
2024,PESIT South,ISE,GM,2,40981,https://pes.edu/
2023,AMC Engineering College,CSE,2B,3,119894,https://amc.edu.in/
2024,Siddaganga Institute,ISE,ST,1,28845,https://sit.ac.in/
2021,Vidya Vikas Institute,ISE,2B,2,73479,https://vvit.ac.in/
2022,KSIT,MECH,3A,1,68861,https://ksit.edu.in/
2024,KSIT,ECE,2A,2,63002,https://ksit.edu.in/
2021,Sir MVIT,MECH,1,2,42722,https://sir-mvit.ac.in/
2024,RNSIT,ISE,GM,2,26443,https://rnsit.ac.in/
2023,Oxford College of Engineering,ECE,2A,3,66556,https://oxford.edu.in/
2023,Vemana Institute of Technology,CSE,2A,2,93599,https://vemanait.edu.in/
2023,Acharya Institute of Technology,MECH,2B,2,54031,https://acharya.ac.in/
2021,MIT Manipal,CSE,ST,1,13036,https://manipal.edu/
2022,KLE Tech Hubli,ISE,ST,1,74948,https://kletech.ac.in/
2021,MS Engineering College,ECE,3B,2,121391,https://msengineering.edu.in/
2023,BMSIT Bangalore,EEE,2B,2,31998,https://bmsit.ac.in/
2024,UVCE,ECE,2B,2,13487,https://uvce.ac.in/
2021,MVJ College of Engineering,ISE,2B,2,56038,https://mvjce.edu.in/
2021,AMC Engineering College,ECE,2A,3,127570,https://amc.edu.in/
2024,PES University,ECE,3A,3,3593,https://pes.edu/
2021,MVJ College of Engineering,EEE,1,1,52400,https://mvjce.edu.in/
2023,DSCE,EEE,3B,3,31191,https://www.dsce.edu.in/
2021,JSS Science & Technology,MECH,GM,2,119122,https://jssstuniv.in/
2023,SJCE Mysore,EEE,GM,3,15789,https://sjce.ac.in/
2022,Sri Siddhartha Institute,EEE,GM,1,83937,https://ssit.edu.in/
2023,BMSCE,ECE,1,1,5380,https://www.bmsce.ac.in/
2021,East Point College of Engineering,EEE,1,2,71798,https://epce.edu.in/
2022,Presidency University,MECH,3A,1,91055,https://presidencyuniversity.in/
2021,BNMIT,CSE,GM,1,28204,https://bnmit.org/
2021,Dayananda Sagar Academy,ECE,2B,3,127720,https://dsacademy.edu.in/
2021,Acharya Institute of Technology,CSE,SC,3,65662,https://acharya.ac.in/
2023,Sri Siddhartha Institute,EEE,GM,2,92037,https://ssit.edu.in/
2022,PESIT RR,MECH,GM,2,33712,https://pes.edu/
2022,Reva University,ECE,3B,1,63171,https://reva.edu.in/
2024,New Horizon College of Engineering,ISE,SC,2,54873,https://newhorizon.edu.in/
2021,AMC Engineering College,EEE,GM,2,117194,https://amc.edu.in/
2023,Presidency University,ISE,2A,1,74343,https://presidencyuniversity.in/
2022,BNMIT,MECH,GM,3,37639,https://bnmit.org/
2023,Sri Venkateshwara College of Engineering,CSE,3A,2,90072,https://svce.edu.in/
2023,JSS Science & Technology,ECE,1,3,128396,https://jssstuniv.in/
2023,RVCE,CSE,GM,3,565,https://www.rvce.edu.in
2023,Sapthagiri College of Engineering,MECH,3A,3,85681,https://sapthagiri.edu.in/
2021,BMSIT Bangalore,MECH,2B,3,34834,https://bmsit.ac.in/
2024,Alliance University,ISE,3B,1,93572,https://alliance.edu.in/
2021,Global Academy of Technology,ISE,2A,3,79950,https://gat.ac.in/
2022,KSIT,ISE,ST,3,91943,https://ksit.edu.in/
2021,East Point College of Engineering,ISE,SC,1,88044,https://epce.edu.in/
2021,Adichunchanagiri Institute,EEE,2A,2,103272,https://acoe.edu.in/
2023,New Horizon College of Engineering,CSE,3B,3,49496,https://newhorizon.edu.in/
2023,CMR University School of Engineering,ECE,GM,1,78795,https://cmr.edu.in/
2024,JSS Science & Technology,CSE,SC,2,150414,https://jssstuniv.in/
2024,CMRIT,CSE,2A,2,48725,https://cmrit.ac.in/
2024,AMC Engineering College,ECE,ST,2,166836,https://amc.edu.in/
2021,PES University,CSE,3A,3,3392,https://pes.edu/
2023,East Point College of Engineering,CSE,1,1,58457,https://epce.edu.in/
2022,Global Academy of Technology,ISE,ST,3,118212,https://gat.ac.in/
2021,Canara Engineering College,MECH,3A,3,89595,https://canaraengineering.in/
2021,MS Engineering College,ISE,2B,3,108029,https://msengineering.edu.in/
2023,MIT Manipal,EEE,ST,1,15436,https://manipal.edu/
2021,KLE Tech Hubli,ISE,3A,2,61760,https://kletech.ac.in/
2023,East Point College of Engineering,ISE,ST,1,90458,https://epce.edu.in/
2021,Oxford College of Engineering,EEE,1,3,69271,https://oxford.edu.in/
2022,Siddaganga Institute,ECE,2A,3,21802,https://sit.ac.in/
2023,PES University,EEE,2B,1,3330,https://pes.edu/
2021,JSSATE Bangalore,EEE,GM,2,36620,https://jssateb.ac.in/
2021,Alliance University,ISE,GM,3,77856,https://alliance.edu.in/
2022,SJCE Mysore,MECH,SC,2,23678,https://sjce.ac.in/
2021,Siddaganga Institute,CSE,2B,3,19942,https://sit.ac.in/
2024,BIT Bangalore,ISE,1,1,19611,https://bit-bangalore.edu.in/
2024,AMC Engineering College,CSE,SC,3,157003,https://amc.edu.in/
2023,BNMIT,ECE,3B,2,40806,https://bnmit.org/
2024,Presidency University,ECE,2B,3,91895,https://presidencyuniversity.in/
2021,MSRIT,MECH,3A,2,9367,https://www.msrit.edu/
2023,Canara Engineering College,ISE,3A,2,71303,https://canaraengineering.in/
2024,Don Bosco Institute of Technology,EEE,SC,3,161818,https://dbit.ac.in/
2021,Alliance University,EEE,GM,1,79265,https://alliance.edu.in/
2021,CMRIT,CSE,2A,3,51073,https://cmrit.ac.in/
2022,MS Engineering College,EEE,3B,2,120201,https://msengineering.edu.in/
2021,PESIT RR,ISE,2B,3,36737,https://pes.edu/
2023,BIT Bangalore,MECH,ST,1,37130,https://bit-bangalore.edu.in/
2021,Sri Venkateshwara College of Engineering,ISE,ST,2,122411,https://svce.edu.in/
2022,JSSATE Bangalore,MECH,3B,2,50134,https://jssateb.ac.in/
2023,Sri Siddhartha Institute,CSE,ST,1,114704,https://ssit.edu.in/
2021,Siddaganga Institute,ISE,GM,1,17142,https://sit.ac.in/
2024,Canara Engineering College,EEE,2A,2,76971,https://canaraengineering.in/
2024,MSRIT,ISE,GM,2,7059,https://www.msrit.edu/
2021,MSRIT,EEE,3B,1,9421,https://www.msrit.edu/
2022,MSRIT,CSE,GM,3,7415,https://www.msrit.edu/
2023,MVJ College of Engineering,CSE,ST,1,64657,https://mvjce.edu.in/
2021,NIE Mysore,ECE,ST,3,27561,https://nie.ac.in/
2024,Vidyavardhaka College,EEE,GM,1,67986,https://vvc.ac.in/
2022,MSRIT,EEE,1,2,8596,https://www.msrit.edu/
2023,KLE Tech Hubli,ECE,ST,2,86311,https://kletech.ac.in/
2024,CMR University School of Engineering,ECE,SC,2,127256,https://cmr.edu.in/
2023,Sir MVIT,ECE,GM,3,40845,https://sir-mvit.ac.in/
2024,KSIT,CSE,ST,1,81062,https://ksit.edu.in/
2021,AMC Engineering College,ECE,GM,3,115568,https://amc.edu.in/
2024,PESIT RR,ISE,GM,3,30866,https://pes.edu/
2022,BMSIT Bangalore,EEE,ST,1,40212,https://bmsit.ac.in/
2022,Don Bosco Institute of Technology,MECH,2B,1,122430,https://dbit.ac.in/
2022,East Point College of Engineering,EEE,GM,1,65303,https://epce.edu.in/
2023,Siddaganga Institute,CSE,ST,1,25384,https://sit.ac.in/
2022,KLE Tech Hubli,ECE,2A,3,63650,https://kletech.ac.in/
2023,PES University,MECH,3A,1,3504,https://pes.edu/
2023,PES University,ECE,3A,1,3348,https://pes.edu/
2021,Sri Siddhartha Institute,CSE,2A,2,87539,https://ssit.edu.in/
2022,RVCE,MECH,1,1,647,https://www.rvce.edu.in
2022,KSIT,ISE,2B,2,60841,https://ksit.edu.in/
2022,Global Academy of Technology,EEE,ST,1,120473,https://gat.ac.in/
2024,Presidency University,MECH,SC,3,132373,https://presidencyuniversity.in/
2022,Bangalore Institute of Technology North Campus,ECE,2A,2,123463,https://bit.edu.in/
2021,Don Bosco Institute of Technology,CSE,1,3,99226,https://dbit.ac.in/
2022,BMSCE,ISE,2A,2,5225,https://www.bmsce.ac.in/
2021,Don Bosco Institute of Technology,ISE,3A,3,120569,https://dbit.ac.in/
2021,MVJ College of Engineering,ISE,3B,1,53905,https://mvjce.edu.in/
2022,BNMIT,CSE,2B,1,32133,https://bnmit.org/
2023,KLE Tech Hubli,EEE,3A,1,65393,https://kletech.ac.in/
2024,CMRIT,CSE,3B,1,52966,https://cmrit.ac.in/
2024,DSCE,ISE,2A,1,24465,https://www.dsce.edu.in/
2022,BMSIT Bangalore,ECE,ST,2,40373,https://bmsit.ac.in/
2024,East Point College of Engineering,ISE,3B,3,75638,https://epce.edu.in/
2021,Sri Venkateshwara College of Engineering,CSE,1,3,83757,https://svce.edu.in/
2023,JSS Science & Technology,EEE,3A,1,130050,https://jssstuniv.in/
2024,Canara Engineering College,MECH,GM,3,72621,https://canaraengineering.in/
2024,JSS Science & Technology,ECE,1,2,113693,https://jssstuniv.in/
2022,Sri Siddhartha Institute,MECH,2A,3,104643,https://ssit.edu.in/
2023,KSSEM Bangalore,MECH,2B,1,86261,https://kssem.edu.in/
2022,Sri Siddhartha Institute,ECE,2A,2,91957,https://ssit.edu.in/
2022,PESIT South,MECH,ST,2,76027,https://pes.edu/
2021,Acharya Institute of Technology,EEE,2B,1,50029,https://acharya.ac.in/
2023,KSSEM Bangalore,ECE,2B,2,86628,https://kssem.edu.in/
2022,JSS Science & Technology,CSE,1,2,111100,https://jssstuniv.in/
2024,PESIT RR,EEE,2B,3,37999,https://pes.edu/
2023,East Point College of Engineering,CSE,ST,2,93791,https://epce.edu.in/
2021,MVJ College of Engineering,MECH,GM,2,54204,https://mvjce.edu.in/
2022,T John Institute of Technology,MECH,3A,1,134866,https://tjohncollege.edu.in/
2023,Reva University,MECH,SC,2,85144,https://reva.edu.in/
2024,Dayananda Sagar Academy,MECH,1,3,119247,https://dsacademy.edu.in/
2022,PESIT RR,ISE,2B,1,30717,https://pes.edu/
2024,Vidya Jyothi Institute,CSE,ST,2,140232,https://vji.ac.in/
2023,Vidya Jyothi Institute,EEE,3B,2,133702,https://vji.ac.in/
2021,Reva University,CSE,2A,2,52319,https://reva.edu.in/
2021,Dayananda Sagar Academy,EEE,GM,1,98323,https://dsacademy.edu.in/
2023,UVCE,ECE,1,2,12234,https://uvce.ac.in/
2021,MVJ College of Engineering,CSE,3A,3,54686,https://mvjce.edu.in/
2023,Reva University,ECE,2A,2,59047,https://reva.edu.in/
2022,JSSATE Bangalore,MECH,1,2,41594,https://jssateb.ac.in/
2023,Vidyavardhaka College,CSE,SC,1,88329,https://vvc.ac.in/
2024,MVJ College of Engineering,MECH,3A,1,63926,https://mvjce.edu.in/
2023,Sapthagiri College of Engineering,CSE,3B,3,73309,https://sapthagiri.edu.in/
2021,JSS Science & Technology,CSE,GM,3,102937,https://jssstuniv.in/
2023,Oxford College of Engineering,MECH,1,2,65870,https://oxford.edu.in/
2022,T John Institute of Technology,ISE,ST,1,153395,https://tjohncollege.edu.in/
2021,Presidency University,MECH,3A,1,91296,https://presidencyuniversity.in/
2021,CMR University School of Engineering,MECH,2A,3,102228,https://cmr.edu.in/
2024,Oxford College of Engineering,ECE,1,1,56979,https://oxford.edu.in/
2024,Presidency University,ECE,ST,3,123283,https://presidencyuniversity.in/
2022,Vidya Vikas Institute,EEE,2B,1,79982,https://vvit.ac.in/
2022,SJCE Mysore,EEE,3B,1,18495,https://sjce.ac.in/
2023,JSSATE Bangalore,EEE,2B,3,43124,https://jssateb.ac.in/
2021,PESIT South,EEE,2A,3,51680,https://pes.edu/
2021,Sapthagiri College of Engineering,MECH,2A,1,67926,https://sapthagiri.edu.in/
2024,PES University,MECH,3A,3,3952,https://pes.edu/
2024,Siddaganga Institute,CSE,SC,3,26200,https://sit.ac.in/
2024,KSIT,MECH,3B,2,72894,https://ksit.edu.in/
2021,MVJ College of Engineering,MECH,SC,2,77266,https://mvjce.edu.in/
2021,PES University,EEE,2A,2,3264,https://pes.edu/
2022,JSSATE Bangalore,ISE,2B,1,38221,https://jssateb.ac.in/
2021,Vidya Vikas Institute,ISE,2B,3,77914,https://vvit.ac.in/
2021,RVCE,ECE,1,2,618,https://www.rvce.edu.in
2021,Global Academy of Technology,ECE,2A,3,83582,https://gat.ac.in/
